number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
145,Автобус,Остановка,"21 КМ., ПО ТРЕБОВАНИЮ","21 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.301697,29.288740"
146,Автобус,Остановка,"21 КМ., ПО ТРЕБОВАНИЮ","21 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.301548,29.288327"
147,Автобус,Остановка,21 км,21 км,"Приморское шоссе, ул. 50-летия Октября","213,К-305,420,420А,420Б, 483,483Б ","60.169797,29.364746"
148,Автобус,Остановка,21км,21км,"Приморское шоссе, ул. 50-летия Октября","213,420,420А,420Б, К-305,483Б ","60.170208,29.367031"
149,Автобус,Остановка,22 КМ,22 КМ,,"485, К-485 ","59.874380,30.673680"
150,Автобус,Остановка,22 КМ,22 КМ,,"485, К-485 ","59.874472,30.673956"
151,Автобус,Остановка,22 КМ,22 КМ,Приозерское ш.,"436,567, К-436 ","60.257266,30.246279"
152,Автобус,Остановка,"22 КМ, ПО ТРЕБОВАНИЮ","22 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б, 483Б ","60.171503,29.341668"
153,Автобус,Остановка,"22 КМ, ПО ТРЕБОВАНИЮ","22 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б, 483Б ","60.171193,29.341625"
154,Автобус,Остановка,22 КМ<,22 КМ,Приозерское ш.,"436,567, К-436 ","60.257325,30.245780"
155,Автобус,Остановка,22-23 ЛИНИИ [6],22-23 ЛИНИИ,"Средний пр., 22-23-я линии","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-30,41,42,К-44,47,К-62,К-120,128,151 ","59.937344,30.259117"
156,Автобус,Остановка,22-23 ЛИНИИ [6]<,22-23 ЛИНИИ,"Средний пр., 22-23-я линии","1,3М,3МА,6,7,128,152, 000,3МБ,С-3,6А,К-6к,К-30,41,К-44,47,К-62,100,К-120,К-124,К-186,К-298,К-309,К-349,К-350,К-690 ","59.937122,30.257604"
157,Автобус,Остановка,22-23-Я ЛИНИИ В.О.,22-23-Я ЛИНИИ В.О.,"22-23-я линии, Большой пр. В.О.","1, 7,41,128,152,К-359А,К-359Б ","59.932474,30.264137"
158,Автобус,Остановка,22-23-Я ЛИНИИ В.О.,,"20-21-я линии В.О., Средний проспект В.О.",,"59.937429,30.261159"
159,Автобус,Остановка,"22-23-Я ЛИНИИ В.О., УГ. СРЕДНЕГО ПР. В.О.",,"22-23-я линии В.О., Средний проспект В.О.","1,7,128,151, К-6к,К-124,К-186,К-309,К-349,К-350,К-690 ","59.936607,30.258782"
160,Троллейбус,Остановка,"22-23-я линии (10, 11 объезд)",22-23-Я ЛИНИИ,"Средний проспект В.О., 22-23-я линии В.О.",10.11,"59.937320,30.258890"
161,Троллейбус,Остановка,"22-23-я линии (10, 11, объезд)",22-23-Я ЛИНИИ,"22-23-я линии В.О., Средний проспект В.О.","10,11","59.936670,30.258720"
162,Троллейбус,Остановка,"22-23-я линии (10, 11, объезд)",22-23-Я ЛИНИИ,"Средний проспект В.О., 22-23-я линии В.О.","10,11","59.937100,30.257470"
163,Трамвай,Остановка,"22-23-я линии T (1, 40)",22-23-Я ЛИНИИ,"22-23-я линии, Большой пр. В.О."," 1,6,40 ","59.932850,30.262990"
164,Трамвай,Остановка,"22-23-я линии T (6, 40)",22-23-Я ЛИНИИ,"Средний, 22-23-я линии","6,40, 6А ","59.937422,30.258789"
165,Трамвай,Остановка,"22-23-я линии Т (1, 6)",22-23-Я ЛИНИИ,"Средний проспект, 22-23-я линии","6,40, 1,6А ","59.937030,30.257810"
166,Троллейбус,Остановка,"22-я линия В.О. (10*,11*)",22-Я ЛИНИЯ В.О.,"Большой пр. В.О., Косая"," 1,9,10,11 ","59.933100,30.262400"
167,Троллейбус,Остановка,"22-я линия В.О.(10,11)",22-Я ЛИНИЯ В.О.,"Большой пр. В.О., Косая"," 1,9,10,11 ","59.932700,30.261500"
168,Автобус,Остановка,"23 КМ [443,454]",23 КМ,,"443,454, 454А ","59.725586,29.900481"
169,Автобус,Остановка,"23 КМ [443,454]",23 КМ,,"443,454, 454А ","59.725353,29.901543"
170,Автобус,Остановка,24 КМ ПУЛКОВСКОГО ШОССЕ <,24 КМ ПУЛКОВСКОГО ШОССЕ,"Киевское шоссе, Рехколовское шоссе","150,301, К-449 ","59.734773,30.300282"
171,Автобус,Остановка,24 КМ ПУЛКОВСКОГО ШОССЕ [150],24 КМ ПУЛКОВСКОГО ШОССЕ,"Киевское шоссе, Рехколовское шоссе","150,301, 147,К-449 ","59.733258,30.297461"
172,Автобус,Остановка,"24 КМ, ПО ТРЕБОВАНИЮ","24 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б, 483Б ","60.171780,29.304031"
173,Автобус,Остановка,"24 КМ, ПО ТРЕБОВАНИЮ","24 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б, 483,483Б ","60.171567,29.304074"
174,Автобус,Остановка,24-25-Я ЛИНИИ В.О.,24-25-Я ЛИНИИ В.О.,"Малый проспект В.О., 24-25-я линии",47,"59.940450,30.251970"
175,Автобус,Остановка,24-25-Я ЛИНИИ В.О.,24-25-Я ЛИНИИ В.О.,"Малый проспект В.О., 24-25-я линии","47,100, 3М,3МА,6,6А,41,42 ","59.940138,30.249889"
176,Автобус,Остановка,24-25-Я ЛИНИИ В.О.,,"Малый пр. В.О., 24-25-я линии","47,100, 3М,3МА,6,6А,41,42 ","59.940177,30.250902"
177,Троллейбус,Остановка,24-25-я линии В.О. (9),24-25-Я ЛИНИИ В.О.,"Малый пр. В.О., 24-25-я линии","9, 10,11 ","59.940100,30.250700"
178,Троллейбус,Остановка,24-25-я линии В.О. (9),24-25-Я ЛИНИИ В.О.,"Малый пр. В.О., 24-25-я линии","9, 10,11 ","59.940200,30.250400"
179,Автобус,Остановка,25 КМ,25 КМ,Приморское шоссе,"420,420А,420Б, 483Б ","60.172503,29.287026"
180,Автобус,Остановка,25 КМ [435],25 КМ,A-122,"84,435,497","60.123918,30.230096"
181,Автобус,Остановка,25 КМ [435]<,25 КМ,A-122,"84,435,497","60.122722,30.230967"
182,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б, 483Б ","60.172730,29.287230"
183,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ",A-123," 420,420А,420Б ","60.172378,29.287165"
184,Автобус,Остановка,26 И 27 ЛИНИИ [1],26 И 27 ЛИНИИ,"Большой проспект В.О., 26-27-я линии В.О.",1,"59.931344,30.257119"
185,Автобус,Остановка,26 И 27 ЛИНИИ [1]<,26 И 27 ЛИНИИ,"Большой проспект В.О., 26-27-я линии В.О.",1.128,"59.931470,30.255520"
186,Автобус,Остановка,26 КМ,26 КМ,"Петрозаводское шоссе, улица Александра Товпеко","189,328,332,335,335А,336, 00,К-220А,К-268,327,328А,329,337,337А,438,438З ","59.792538,30.611644"
187,Автобус,Остановка,26 КМ,26 КМ,"Петрозаводское шоссе, улица Александра Товпеко"," 189,332,335,335А,336 ","59.792765,30.612159"
188,Автобус,Остановка,26 КМ,26 КМ,"A-122, ул. Молодцова",84,"60.141017,30.208451"
189,Автобус,Остановка,26 КМ,,"Петрозаводское шоссе, ул. Александра Товпеко","189,328,332,335,335А,336, 00,К-220А,К-268,327,328А,329,337,337А,438,438З ","59.793083,30.611152"
190,Автобус,Остановка,26 КМ (дорога на Елизаветинку),26 КМ,Приозерское ш.,"436, К-436 ","60.293857,30.237755"
191,Автобус,Остановка,26 КМ (дорога на Елизаветинку)<,26 КМ,Приозерское ш.,"436, К-436 ","60.293398,30.237272"
192,Автобус,Остановка,26-27 ЛИНИИ [7],26-27 ЛИНИИ,"Большой пр. В.О., 26-27-я линии"," 1,7,7А,42,128,151,К-154,К-346,К-349 ","59.931444,30.257119"
193,Автобус,Остановка,26-27 ЛИНИИ [7]<,26-27 ЛИНИИ,"Большой пр. В.О., 26-27-я линии"," 1,7,7А,41,128,152 ","59.931239,30.255788"
194,Троллейбус,Остановка,"26-27 линия В.О. (10*,11*)",26-27 ЛИНИЯ В.О.,"Большой пр. В.О., 26-27-я линии"," 1,9,10,11 ","59.931300,30.255900"
195,Троллейбус,Остановка,"26-27 линия В.О.(10,11)",26-27 ЛИНИЯ В.О.,"Большой проспект В.О., 26-27-я линии"," 1,9,10,11 ","59.931556,30.257400"
196,Автобус,Остановка,26-27-Я ЛИНИИ В.О.,26-27-Я ЛИНИИ В.О.,"26-27-я линии, Косая линия"," 152,К-309,К-359Б ","59.929529,30.258610"
197,Трамвай,Остановка,"26-27-я линии T (1, 40)",26-27-Я ЛИНИИ,"Косая, 26-27-я линии"," 1,6,40 ","59.929700,30.259039"
198,Автобус,Остановка,27 КМ,27 КМ,Киевское шоссе,188,"59.707407,30.270518"
199,Автобус,Остановка,27 КМ [188]<,27 КМ,Киевское шоссе,188,"59.708461,30.272446"
200,Автобус,Остановка,"28 КМ [482, 482а, 482в, 484, 484шК., 484б]",28 КМ,Таллинское ш.,"481,482,482В,484,547, 482А,484Б,К-484,484Ш ","59.682536,29.894088"
201,Автобус,Остановка,"28 КМ [482, 482а, 482в, 484, 484шК., 484б]<",28 КМ,Таллинское ш.,"481,482,482В,484,547, 482А,484Б,484Ш ","59.682181,29.893299"
202,Автобус,Остановка,28 КМ ПУЛКОВСКОГО ШОССЕ <,28 КМ ПУЛКОВСКОГО ШОССЕ,Киевское шоссе,"150,188","59.705549,30.269630"
203,Автобус,Остановка,28-29 ЛИНИИ (ПО СРЕДНЕМУ ПР. В.О.),28-29 ЛИНИИ (ПО СРЕДНЕМУ ПР. В.О.),"Средний пр., 28-29-я линии","1,3М,3МА,6,7,128,151, 000,3МБ,С-3,6А,К-6к,К-30,К-44,К-62,К-120,К-124,К-186,К-298,К-309,К-349,К-350,К-690 ","59.934789,30.250447"
204,Автобус,Остановка,28-29-Я ЛИНИИ В.О.,28-29-Я ЛИНИИ В.О.,"Средний пр., 28-29-я линии","1,3М,3МА,6,7,128,152, 000,3МБ,С-3,6А,К-6к,К-30,К-44,47,К-62,100,К-120,К-124,К-186,К-309,К-349,К-350,К-690 ","59.934541,30.248976"
205,Трамвай,Остановка,"28-29-я линии T (1, 6)",28-29-Я ЛИНИИ,"Средний проспект, 28-29-я линии","6,40, 1,6А ","59.934340,30.248980"
206,Трамвай,Остановка,"28-29-я линии T (1, 6)",28-29-Я ЛИНИИ,"Средний проспект В.О., 28-29-я линии","6,40, 1,6А ","59.934760,30.249820"
207,Троллейбус,Остановка,"28-29-я линии В.О. (10, 11, объезд)",28-29-Я ЛИНИИ В.О.,"Средний проспект В.О., 28-29-я линии В.О.","10,11","59.934770,30.250340"
208,Троллейбус,Остановка,"28-29-я линии В.О. (10, 11, объезд)",28-29-Я ЛИНИИ В.О.,"Средний проспект В.О., 28-29-я линии В.О.","10,11","59.934520,30.248880"
209,Автобус,Остановка,29 КМ [435],29 КМ,A-122,"435,497, 315 ","60.155272,30.191029"
210,Автобус,Остановка,29 КМ [435]<,29 КМ,A-122,"435,497","60.154667,30.191284"
211,Автобус,Остановка,29 КМ (дорога на Елизаветинку),29 КМ,Приозерское ш.,"436, К-436 ","60.311690,30.259566"
212,Автобус,Остановка,29 КМ (дорога на Елизаветинку)<,29 КМ,Приозерское ш.,"436, К-436 ","60.311770,30.259220"
213,Автобус,Остановка,29 КМ [188],29 КМ,Киевское шоссе,188,"59.694392,30.257262"
214,Автобус,Остановка,29 КМ [188]<,29 КМ,Киевское шоссе,188,"59.694266,30.257775"
215,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273,301, К-402,К-449 ","59.732260,30.119618"
216,Автобус,Остановка,3 КМ,3 КМ,Ропшинское шоссе,278.357,"59.848372,29.947282"
217,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273,301, К-402,К-449 ","59.732590,30.119564"
218,Автобус,Остановка,3 КМ ПО ТРЕБОВАНИЮ,3 КМ ПО ТРЕБОВАНИЮ,Магистральная,"322, 211,213,321,420,420А ","60.222950,29.590856"
219,Автобус,Остановка,3 КМ <,3 КМ,Ропшинское шоссе,278.357,"59.848539,29.947679"
220,Автобус,Остановка,"3 КМ [319,483]",3 КМ,A-125,"319,483,483А","60.215343,29.504744"
221,Автобус,Остановка,"3 КМ [319,483]",3 КМ,A-125,"319,483,483А","60.215047,29.504502"
222,Автобус,Остановка,3 КМ [322],3 КМ,Магистральная,"322, 211,213,420,420А ","60.223141,29.590255"
223,Автобус,Остановка,3 КМ [347],3 КМ,"Иликовская дорога, Сойкинская дорога",347,"59.901508,29.747940"
224,Автобус,Остановка,3 КМ [347],3 КМ,"Сойкинская дорога, Иликовская дорога",347,"59.901572,29.748820"
225,Автобус,Остановка,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,Sovetsky pr.," 438,438З ","59.731052,30.777018"
226,Автобус,Остановка,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,"Никольское шоссе, Отрадненское шоссе","438,438З","59.737784,30.776063"
227,Автобус,Остановка,3 КМ ДОРОГИ В НИКОЛЬСКОЕ <,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,Sovetsky pr.,"438,438З","59.738125,30.776525"
228,Автобус,Остановка,"3 ЛИНИЯ,15",,"Аннинское шоссе, 2-я линия","442,442А,458,458А,458Б, 81 ","59.778958,30.089735"
229,Автобус,Остановка,3-ИЙ ВЕРХНИЙ ПЕРЕУЛОК Д. 5,3-ИЙ ВЕРХНИЙ ПЕРЕУЛОК Д. 5,3-й Верхний пер.,113,"60.064722,30.349722"
230,Автобус,Остановка,3-Й БАДАЕВСКИЙ ПРОЕЗД,3-Й БАДАЕВСКИЙ ПРОЕЗД,"3-й Бадаевский проезд, улица Ленина",197,"59.807782,30.425165"
231,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР.,5 (ВЫСАДКА)","3-Й ВЕРХНИЙ ПЕР.,5 (ВЫСАДКА)",3-й Верхний переулок,"113, 104 ","60.063748,30.355804"
232,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР.,5 (ПОСАДКА)","3-Й ВЕРХНИЙ ПЕР.,5 (ПОСАДКА)",3-й Верхний переулок,113,"60.063707,30.354057"
233,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]","3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ.","Домостроительная ул., 3-й Верхний пер.","113, 99,139 ","60.061784,30.365612"
234,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]<","3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ.","3-й Верхний пер., Домостроительная ул.","113, 99,104,139 ","60.061722,30.364817"
235,Автобус,Остановка,"3-Я КОННАЯ ЛАХТА, 40","3-Я КОННАЯ ЛАХТА, 40",,"112, 002,К-232 ","60.020332,30.109071"
236,Автобус,Остановка,"3-Я КОННАЯ ЛАХТА, 40","3-Я КОННАЯ ЛАХТА, 40",,"112, 002,К-210,К-232 ","60.020192,30.108696"
